  PID TTY      STAT   TIME COMMAND
 2083 ?        Ss     0:00 /lib/systemd/systemd --user
 2084 ?        S      0:00 (sd-pam)
 2089 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 2091 ?        Ss     0:00 /sbin/upstart --user
 2172 ?        S      0:00 upstart-udev-bridge --daemon --user
 2180 ?        Ss     0:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-6XE6yBCzIK
 2192 ?        Ss     0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 2239 ?        S      0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
 2241 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 2245 ?        Ssl    0:08 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
 2249 ?        S      0:00 upstart-file-bridge --daemon --user
 2256 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 2261 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2264 ?        Sl     0:00 /usr/lib/ibus/ibus-dconf
 2265 ?        Sl     0:02 /usr/lib/ibus/ibus-ui-gtk3
 2268 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 2282 ?        Ssl    0:02 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 2309 ?        Sl     0:02 /usr/lib/ibus/ibus-engine-simple
 2319 ?        Ss     0:00 gpg-agent --homedir /home/pavan/.gnupg --use-standard-socket --daemon
 2329 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
 2331 ?        Ssl    0:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
 2337 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 2339 ?        Ssl    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 2348 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 2354 ?        Ssl    0:04 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
 2359 ?        Sl     0:01 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2375 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 2378 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 2384 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 2386 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 2387 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
 2388 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 2389 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 2392 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 2413 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 2440 ?        S<l    0:19 /usr/bin/pulseaudio --start --log-target=syslog
 2451 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2458 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 2511 ?        Ssl   16:38 compiz
 2514 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 2515 ?        SLl    0:05 /usr/bin/gnome-software --gapplication-service
 2517 ?        Sl     0:02 nm-applet
 2518 ?        Sl     0:01 nautilus -n
 2523 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2530 ?        SLl    0:30 /usr/share/skypeforlinux/skypeforlinux --executed-from=/home/pavan --pid=2521
 2555 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2559 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 2579 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2585 ?        Sl     0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 2590 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2598 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2611 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote
 2613 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote
 2631 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
 2642 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2559x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2559/2
 2652 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory
 2654 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2559x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2559/3
 2679 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2652x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2652/2
 2721 ?        Sl     0:01 /usr/share/skypeforlinux/skypeforlinux --type=gpu-process --field-trial-handle=3999627699056899190,17003732624304880651,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=8341624015028731620
 2722 ?        Sl     0:12 /usr/share/skypeforlinux/skypeforlinux --type=utility --field-trial-handle=3999627699056899190,17003732624304880651,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-GB --service-sandbox-type=network --service-request-channel-token=6308047936658970574 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 2731 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=broker
